,class0,class1,class2,y_test
7812,0.170483767986,0.465426653624,0.364089548588,1
3505,0.0746994167566,0.699412107468,0.225888475776,1
4210,0.10653680563,0.469563752413,0.423899501562,2
7949,0.137653529644,0.474185138941,0.388161361217,1
1439,0.175954923034,0.412075072527,0.411969989538,1
2240,0.199662551284,0.468925446272,0.331412047148,0
498,0.170958414674,0.525216579437,0.303825050592,1
1892,0.118240006268,0.410835534334,0.470924496651,1
5440,0.192522242665,0.489551156759,0.317926585674,1
1657,0.0719082206488,0.607755482197,0.320336341858,1
3998,0.115151152015,0.694183826447,0.190665081143,2
4532,0.139427870512,0.457017123699,0.403555035591,2
7571,0.895841777325,0.0513070710003,0.0528510883451,0
4456,0.147538796067,0.367185175419,0.48527598381,2
1500,0.839010417461,0.0820443704724,0.0789452418685,0
3974,0.165978983045,0.34168997407,0.492331087589,2
3497,0.190060377121,0.507483899593,0.30245578289,1
4645,0.0668768435717,0.713880777359,0.219242349267,1
2538,0.906274199486,0.0573654808104,0.036360360682,0
711,0.211450845003,0.536427378654,0.25212174654,1
5646,0.0692017450929,0.520909130573,0.409889101982,1
1406,0.0740616768599,0.723946988583,0.201991394162,1
2425,0.219602912664,0.589113593102,0.191283509135,1
5,0.371000617743,0.47165325284,0.157346144319,1
5725,0.263914883137,0.556070506573,0.180014669895,1
9558,0.132926151156,0.610894799232,0.256179064512,1
1160,0.195528388023,0.516925871372,0.287545710802,1
7757,0.225818380713,0.560523748398,0.213657915592,1
3378,0.20619109273,0.466770499945,0.327038377523,1
7637,0.0582390017807,0.517845451832,0.423915565014,2
9920,0.146759927273,0.485522657633,0.367717444897,2
4495,0.910431563854,0.0535534434021,0.0360149592161,0
9165,0.145505920053,0.482351511717,0.372142583132,1
4678,0.0572859197855,0.438281089067,0.504433035851,2
8764,0.221985727549,0.431359738111,0.346654564142,0
422,0.0645242109895,0.765597879887,0.169877886772,1
1311,0.280434012413,0.553817451,0.165748521686,1
7276,0.889859378338,0.063903644681,0.0462369583547,0
3850,0.278852194548,0.523951530457,0.197196260095,1
